,player_name,rank,battle_count,won,lost,tie,points,total_score,total_enemy_score,mean_score,mean_enemy_score,killed_all_enemy_units,all_units_died,wins_as_player_1,wins_as_player_2
0,Arrakis,1,24,24,0,0,24.0,53472.0,39.0,2228.0,1.625,23,0,12,12
1,Ender,2,24,20,4,0,20.0,44866.0,8543.0,1869.4166666666667,355.9583333333333,16,3,10,10
2,PrincessesBot,3,24,18,6,0,18.0,105750.0,20875.0,4406.25,869.7916666666666,11,5,9,9
3,DontBeMean,4,24,17,7,0,17.0,20279.0,6168.0,844.9583333333334,257.0,16,7,8,9
4,Hozi,5,24,15,9,0,15.0,46821.0,29584.0,1950.875,1232.6666666666667,10,8,7,8
5,UnderTheHoodBot,6,24,14,10,0,14.0,53519.0,26962.0,2229.9583333333335,1123.4166666666667,10,10,7,7
6,Fun With Flags,7,24,12,12,0,12.0,27270.0,33114.0,1136.25,1379.75,10,11,6,6
7,Rubber_Ducks,8,24,11,13,0,11.0,63261.0,39162.0,2635.875,1631.75,7,12,5,6
8,PowerPuff,9,24,10,14,0,10.0,40200.0,36778.0,1675.0,1532.4166666666667,4,14,6,4
9,KongFuSyrianPandas,10,24,9,15,0,9.0,48653.0,41698.0,2027.2083333333333,1737.4166666666667,5,13,5,4
10,space_pirates,11,24,3,21,0,3.0,13720.0,105877.0,571.6666666666666,4411.541666666667,0,10,2,1
11,data_campers,12,24,2,22,0,2.0,18286.0,109576.0,761.9166666666666,4565.666666666667,0,12,1,1
12,spaceNinjas,13,24,1,23,0,1.0,40338.0,118059.0,1680.75,4919.125,0,7,1,0
